"ring_no_lab","year","ring_no","sex","age","totaloff","totalmates","epy","category","totalnest_sum"
"#1","2001",NA,"female",NA,4,1,"0","1females",NA
"#10","2002",NA,"female",NA,5,2,"0","1females",NA
"#11","2002",NA,"female",NA,5,3,"0","1females",NA
"#12","2005",NA,"female",NA,3,1,"0","1females",NA
"#13","2005",NA,"female",NA,3,1,"0","1females",NA
"#14","2006",NA,"female",NA,2,2,"0","1females",NA
"#15","2006",NA,"female",NA,3,1,"0","1females",NA
"#16","2008",NA,"female",NA,4,2,"0","1females",NA
"#18","2010",NA,"female",NA,4,1,"0","1females",NA
"#19","2010",NA,"female",NA,5,1,"0","1females",NA
"#2","2001",NA,"female",NA,1,1,"0","1females",NA
"#20","2010",NA,"female",NA,5,2,"0","1females",NA
"#21","2010",NA,"female",NA,7,1,"0","1females",NA
"#22","2010",NA,"female",NA,3,1,"0","1females",NA
"#23","2011",NA,"female",NA,4,1,"0","1females",NA
"#24","2011",NA,"female",NA,3,1,"0","1females",NA
"#25","2011",NA,"female",NA,5,2,"0","1females",NA
"#26","2011",NA,"female",NA,4,2,"0","1females",NA
"#27","2011",NA,"female",NA,6,2,"0","1females",NA
"#28","2011",NA,"female",NA,3,1,"0","1females",NA
"#29","2011",NA,"female",NA,4,1,"0","1females",NA
"#30","2011",NA,"female",NA,3,1,"0","1females",NA
"#31","2012",NA,"female",NA,1,1,"0","1females",NA
"#32","2012",NA,"female",NA,1,1,"0","1females",NA
"#33","2014",NA,"female",NA,5,4,"0","1females",NA
"#34","2014",NA,"female",NA,4,2,"0","1females",NA
"#35","2016",NA,"female",NA,16,4,"0","1females",NA
"#36","2016",NA,"female",NA,10,3,"0","1females",NA
"#37","2016",NA,"female",NA,6,2,"0","1females",NA
"#38","2016",NA,"female",NA,15,5,"0","1females",NA
"#39","2016",NA,"female",NA,5,2,"0","1females",NA
"#4","2001",NA,"female",NA,4,2,"0","1females",NA
"#40","2016",NA,"female",NA,1,1,"0","1females",NA
"#41","2016",NA,"female",NA,4,2,"0","1females",NA
"#42","2017",NA,"female",NA,4,1,"0","1females",NA
"#43","2017",NA,"female",NA,3,2,"0","1females",NA
"#44","2018",NA,"female",NA,2,1,"0","1females",NA
"#45","2018",NA,"female",NA,5,1,"0","1females",NA
