"ring_no","sex","year","parent","totaloff","totalmates","epy","category","analysis","species","stage_red2","body_mass","right_tarsus","tarsus_mean_SMI","scaled_mass_index","tail_body"
"GN 27166","female","2012","CW13_515",4,2,0,"nocat","tag","black coucal","mating",174,44,42.48,156.9357567,171
"GN 27170","female","2012","CW13_517",6,4,0,"nocat","tag","black coucal","mating",154,41.3,42.48,167.2788695,175
"GN 27191","female","2012","CW13_527",6,2,0,"nocat","tag","black coucal","mating",195,43.4,42.48,183.1110197,184
"GN 27200","female","2012","CW13_530",3,1,0,"nocat","tag","black coucal","mating",175,39.8,42.48,211.9000527,170
"GN 27259","male","2012","CW13_531",2,1,0,"cat3","tag","black coucal","feeding",88,41.5,38.87,76.69088877,125
"GN 27272","male","2012","CW13_532",3,1,0,"cat3","tag","black coucal","feeding",98,38,38.87,102.773439,165
"GN 27276","male","2012","CW13_534",3,1,0,"cat3","tag","black coucal","feeding",94,40,38.87,88.50747716,153
"GN 27284","male","2012","CW13_537",2,1,1,"cat2","tag","black coucal","feeding",NA,40.4,38.87,NA,159
"GN 27292","female","2012","CW13_539",3,1,0,"nocat","tag","black coucal","mating",171,41.8,42.48,179.2966862,189
"GN 41701","female","2001","WG06_017",5,1,0,"nocat","tag","black coucal","mating",152,42.4,42.48,152.4430347,200
"GN 41703","female","2001","WG06_005",16,2,0,"nocat","tag","black coucal","mating",152,42.4,42.48,152.4430347,NA
"GN 41704","male","2001","WG06_003",3,2,1,"cat2","tag","black coucal","mating",96,39.4,38.87,93.3069129,173
"GN 41706","male","2001","WG06_008",4,1,0,"cat3","tag","black coucal","incubating",110,39.4,38.87,106.914171,185
"GN 41707","male","2001","WG06_004",10,1,0,"cat3","tag","black coucal","mating",96,39.4,38.87,93.3069129,165
"GN 41708","male","2001","WG06_006",1,1,0,"cat3","tag","black coucal","mating",88,39.4,38.87,85.53133683,148
"GN 41713","male","2001","WG06_013",6,1,1,"cat2","tag","black coucal","mating",88,39.4,38.87,85.53133683,170
"GN 41717","female","2001","WG06_007",3,1,0,"nocat","tag","black coucal","mating",163,42.4,42.48,163.4750965,NA
"GN 41720","male","2001","WG06_041",3,1,0,"cat3","tag","black coucal","feeding",94,39.4,38.87,91.36301888,149
"GN 41734","male","2001","WG06_052",3,1,0,"cat3","tag","black coucal","feeding",92,39.4,38.87,89.41912486,147
"GN 41743","female","2001","WG06_094",3,1,0,"nocat","tag","black coucal","mating",181,42.4,42.48,181.5275611,179
"GN 41751","male","2001","WG06_068",4,1,0,"cat3","tag","black coucal","feeding",102,39.4,38.87,99.13859496,174
"GN 41762","male","2001","WG06_115",3,1,0,"cat3","tag","black coucal","feeding",108,39.4,38.87,104.970277,175
"GN 41768","male","2001","WG06_111",3,2,1,"cat2","tag","black coucal","feeding",99,39.4,38.87,96.22275393,180
"GN 41775","male","2002","WG06_128",6,2,1,"cat2","tag","black coucal","prebreeding",101,39.4,38.87,98.16664795,157
"GN 41776","female","2002","WG06_129",4,1,0,"nocat","tag","black coucal","prebreeding",126,42.4,42.48,126.3672525,165
"GN 41778","female","2002","WG06_131",6,2,0,"nocat","tag","black coucal","prebreeding",145,42.4,42.48,145.4226318,172
