"ring_no","sex","year","lab_id","no_off","no_mates","random_factor","analysis","species","stage_red2","body_mass","right_tarsus","tarsus_mean_SMI","scaled_mass_index","tail_body"
"GN 27156","male","2012","CW13_513",4,1,134,"tag","white-browed coucal","egg-lay_incub",NA,40.2,41.07,NA,197
"GN 27162","female","2012","CW13_514",16,1,21,"tag","white-browed coucal","egg_incub_feed",163,40.7,42.34,173.2515603,217
"GN 27167","male","2012","CW13_516",3,1,135,"tag","white-browed coucal","egg-lay_incub",136,41.6,41.07,130.1499734,200
"GN 27171","female","2012","CW13_518",9,1,22,"tag","white-browed coucal","egg_incub_feed",146,43,42.34,142.5544827,197
"GN 27194","female","2012","CW13_529",4,1,23,"tag","white-browed coucal","egg_incub_feed",161,41.6,42.34,165.4432648,212
"GN 27194","female","2015","CW13_529",3,1,25,"tag","white-browed coucal","egg_incub_feed",146,41,42.34,153.43269,199
"GN 27255","female","2013","CW13_607",10,2,31,"tag","white-browed coucal","feeding",156,40.9,41.07,158.2346465,209
"GN 27261","male","2014","CW14_028",6,1,149,"tag","white-browed coucal","feeding",120,40.9,41.07,121.7189589,199
"GN 27283","male","2012","CW13_536",6,1,138,"tag","white-browed coucal","feeding",146,41.6,41.07,139.7198244,211
"GN 27290","male","2012","CW13_538",9,1,139,"tag","white-browed coucal","feeding",118,41.1,41.07,117.7049172,199
"GN 44429","male","2005","CM05_009",2,1,103,"tag","white-browed coucal","egg-lay_incub",146,41,41.07,146.8565148,203
"GN 44441","male","2005","CM05_018",6,1,104,"tag","white-browed coucal","feeding",140,39.9,41.07,154.5852962,197
"GN 44447","male","2005","CM05_026",4,1,105,"tag","white-browed coucal","mating",151,42.1,41.07,138.704275,207
"GN 44450","male","2005","CM05_028",4,1,106,"tag","white-browed coucal","feeding",117,40.8,41.07,119.6763592,187
"GN 44453","male","2005","CM05_033",4,1,107,"tag","white-browed coucal","feeding",134,39.9,41.07,147.9602121,202
"GN 44454","female","2005","CM05_037",3,1,1,"tag","white-browed coucal","egg_incub_feed",183,41,42.34,192.3163169,220
"GN 44455","male","2005","CM05_038",3,1,108,"tag","white-browed coucal","egg-lay_incub",131,40.5,41.07,137.4308483,195
"GN 44462","female","2005","CM05_051",4,1,2,"tag","white-browed coucal","egg_incub_feed",155,41.6,42.34,159.2776773,236
